id,title,popularity,runtime,price,overview
2342,Serial ,142,86,6.99,"Its the end of the 70s. Hippies are assimilating, women are raising their consciousness, and men are becoming confused and ineffectual. Dont expect to be able to keep track of all the names or whos sleeping with who the picture very skillfully conveys the hopeless muddle through which the many characters move as they try to find themselves."
584C,Reds ,108,195,6.99,A radical American journalist becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.
0B7B,The Last Days ,107,87,7.99,"Five Jewish Hungarians, now U.S. citizens, tell their stories before March, 1944, when Nazis began to exterminate Hungarian Jews, months in concentration camps, and visiting childhood homes more than 50 years later. An historian, a Sonderkommando, a doctor who experimented on Auschwitz prisoners, and US soldiers who were part of the liberation in April, 1945."
4F34,The Insider ,81,157,6.99,"Tells the true story of a 60 Minutes television series expos of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand"
A2EF,Battlestar Galactica: Razor ,104,88,6.99,A twohour Battlestar Galactica special that tells the story of the Battlestar Pegasus several months prior to it finding the Galactica.
18A2,A Summer Story ,149,95,7.99,"A bittersweet tale of lost love, based on a short story The Apple Tree by John Galsworthy."
62F3,The Man from U.N.C.L.E. ,95,116,6.99,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duos only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe."
8EEA,The Buddy Holly Story ,105,113,7.99,A film about the life and career of the early rock and roll star.
0B6F,Bright Lights: Starring Carrie Fisher and Debbie Reynolds ,102,95,6.99,"An intimate portrait of Hollywood royalty featuring Debbie Reynolds, Todd Fisher, and Carrie Fisher."
7BBD,Lion ,114,118,7.99,"A fiveyearold Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia 25 years later, he sets out to find his lost family."
1001,The King of Kong ,109,79,7.99,"In this hilarious arcade showdown, a humble novice goes headtohead against the reigning Donkey Kong champ in a confrontation that rocks the gaming world to its processors For over 20 years, Billy Mitchell has owned the throne of the Donkey Kong world. No one could beat his top score until now. Newcomer Steve Wiebe claims to have beaten the unbeatable, but Mitchell isnt ready to relinquish his crown without a fight. Go behind the barrels as the two battle it out in a vicious war to earn the title of the true King of Kong."
1485,Total Recall ,96,113,6.99,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtualreality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, hes off to Mars to find out who he is and who planted the chip."
2D50,Sour Grapes ,120,86,7.99,"Controversy erupts when an unassuming young man floods the American wine market with fake vintages valued in the millions, bamboozling the wine world elite, in this humorous and suspenseful tale of an ingenious con on the eve of the 2008 stock market crash."
8EE9,El Dorado ,144,120,6.99,"Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water."
015A,Sing Street ,143,106,7.99,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
5844,Back to the Future Part III ,138,118,6.99,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen."
3669,Arsenic and Old Lace ,111,118,6.99,"Mortimer Brewster is a newspaperman and author known for his diatribes against marriage. We watch him being married at city hall in the opening scene. Now all that is required is a quick trip home to tell Mortimers two maiden aunts. While trying to break the news, he finds out his aunts hobby killing lonely old men and burying them in the cellar. It gets worse."
5847,The Hustler ,104,134,7.99,Fast Eddie Felson is a smalltime pool hustler with a lot of talent but a selfdestructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a highstakes match.
A2E4,For Lovers Only ,145,88,6.99,"FOR LOVERS ONLY is a story of a MAN and a WOMAN in love. After seeing each other for the first time in years while on separate work assignments in Paris, the LOVERS flee together and travel by train, car and motorcycle, as their love affair takes them across Francefrom Normandy to St. Tropez. Throughout their trip, both characters experience long periods of carefree bliss and unrepentant joy punctuated by brief moments of guilt and confusion. The final outcome of the affair is left open to interpretation."
62F0,Gravity ,130,91,6.99,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alonetethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space."
18B1,Strangers on a Train ,108,101,7.99,A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder...a theory that he plans to implement.
2D69,Follow the Fleet ,120,110,6.99,"When the fleet puts in at San Francisco, sailor Bake Baker tries to rekindle the flame with his old dancing partner, Sherry Martin, while Bakes buddy Bilge Smith romances Sherrys sister Connie. But its not all smooth sailing Bake has a habit of losing Sherrys jobs for her and despite Connies dreams, Bilge is not ready to settle down."
A706,Life of Brian ,91,94,7.99,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When hes not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronymobsessed members of a separatist movement. Rife with Monty Pythons signature absurdity, the tale finds Brians life paralleling Biblical lore, albeit with many more laughs."
3684,The Blues Brothers ,135,133,7.99,"Jake Blues is just out of jail, and teams up with his brother, Elwood on a mission from God to raise funds for the orphanage in which they grew up. The only thing they can do is do what they do best  play music  so they get their old band together and theyre on their way, while getting in a bit of trouble here and there."
0B8E,The Haunting ,96,112,6.99,"Dr. Markway, doing research to prove the existence of ghosts, investigates Hill House, a large, eerie mansion with a lurid history of violent death and insanity."
2352,Gilda ,100,110,7.99,"Just arrived in Argentina, smalltime crooked gambler Johnny Farrell is saved from a gunman by sinister Ballin Mundson, who later makes Johnny his righthand man. But their friendship based on mutual lack of scruples is strained when Mundson returns from a trip with a wife the supremely desirable Gilda, whom Johnny once knew and learned to hate. The relationship of Johnny and Gilda, a battlefield of warring emotions, becomes even more bizarre after Mundson disappears..."
9DAF,Selena ,87,127,6.99,"In this biographical drama, Selena Quintanilla is born into a musical MexicanAmerican family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an Englishlanguage album which, tragically, she would never complete."
670B,Stand-In ,96,91,6.99,An east coast efficiency expert who stakes his reputation on his ability to turn around a financially troubled Hollywood studio receives some help from a former child star who now works as a standin for the studio.
452E,Broadway Melody of 1938 ,133,110,7.99,"Steve Raleight wants to produce a show on Broadway. He finds a backer, Herman Whipple and a leading lady, Sally Lee. But Caroline Whipple forces Steve to use a known star, not a newcomer. Sally purchases a horse, she used to train when her parents had a farm before the depression and with to exvaudevillians, Sonny Ledford and Peter Trott she trains it to win a race, providing the money Steve needs for his show."
A2FF,Descendants 2 ,108,111,7.99,"When the pressure to be royal becomes too much for Mal, she returns to the Isle of the Lost where her archenemy Uma, Ursulas daughter, has taken her spot as selfproclaimed queen."
18B3,The Bourne Supremacy ,103,108,6.99,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive."
6708,Irma la Douce ,115,135,6.99,"Nester Patou, a naive police officer, is transferred to the red light district in Paris and organizes a raid on a dodgy hotel running as a brothel  inadvertently disrupting the corrupt system of the police and the pimps union, and netting his station superior. Fired from his job, Nester goes to the local bar for a drink and befriends a pretty young lady named Irma la Douce. Upon realizing she is a prostitute, Nester invents a crazy scheme to keep her from seeing other men."
09FB,The Train ,120,133,6.99,"As the Allied forces approach Paris in August 1944, German Colonel Von Waldheim is desperate to take all of Frances greatest paintings to Germany. He manages to secure a train to transport the valuable art works even as the chaos of retreat descends upon them. The French resistance however wants to stop them from stealing their national treasures but have received orders from London that they are not to be destroyed. The station master, Labiche, is tasked with scheduling the train and making it all happen smoothly but he is also part of a dwindling group of resistance fighters tasked with preventing the theft. He and others stage an elaborate ruse to keep the train from ever leaving French territory."
6709,The Best of Me ,127,117,6.99,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.
0167,My Little Pony: Equestria Girls ,118,72,6.99,"Via a magic mirror, Twilight Sparkle travels into an alternate universe in order to recover a crown that was stolen from the Crystal Empire. Upon her arrival she is horrified to learn that she has turned into a human."
0165,Sunset Boulevard ,88,110,7.99,A hack screenwriter writes a screenplay for a former silentfilm star who has faded into Hollywood obscurity.
1012,The Big Country ,103,165,7.99,"Retired, wealthy sea Captain Jame McKay arrives in the vast expanse of the West to marry fiance Pat Terrill. McKay is a man whose values and approach to life are a mystery to the ranchers and ranch foreman Steve Leech takes an immediate dislike to him. Pat is spoiled, selfish and controlled by her wealthy father, Major Henry Terrill. The Major is involved in a ruthless civil war, over watering rights for cattle, with a rough hewn clan led by Rufus Hannassey. The land in question is owned by Julie Maragon and both Terrill and Hannassey want it."
2D5C,The Day the '60s Died ,102,56,7.99,"The Day the 60s Died chronicles May 1970, the month in which four students were shot dead at Kent State. The mayhem that followed has been called the most divisive moment in American history since the Civil War. From college campuses, to the jungles of Cambodia, to the Nixon White House, the film takes us back into that turbulent spring 45 years ago."
149E,Breaking Away ,135,100,6.99,"Dave, nineteen, has just graduated high school, with his 3 friends, The comical Cyril, the warm hearted but shorttempered Moocher, and the athletic, spiteful but goodhearted Mike. Now, Dave enjoys racing bikes and hopes to race the Italians one day, and even takes up the Italian culture, much to his friends and parents annoyance."
4522,Lenny Bruce: Swear to Tell the Truth ,98,100,9.99,"In 1948, Lenny Bruce was just another comic who couldnt get arrested. By 1961, all that would change."
7BC8,Dead Man's Eyes ,126,64,7.99,"Artist David Stuart is blinded by a jealous assistant  model. His fiances father generously offers his eyes for a sight restoring operation. Theres only one hitch Stuart has to wait until after the man dies. Not surprisingly, when the benefactor dies a very premature death, suspicion falls on the artist."
7BC9,It's the Great Pumpkin  Charlie Brown,130,25,6.99,"This classic Peanuts tale focuses on the thumbsucking, blanketholding Linus, and his touching faith in the Great Pumpkin. When Linus discovers that no one else believes in the creature, he sets out to prove that the Pumpkins no mythby spending the night alone in a pumpkin patch."
A2F7,The Organization ,146,106,6.99,"After a group of young revolutionaries break into a companys corporate headquarters and steal 5,000,000 worth of heroin to keep it off the street, they call on San Francisco Police Lieutenant Virgil Tibbs for assistance."
84FE,Mad Max: Fury Road ,114,120,6.99,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. Theres Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland."
93AB,Spellbound ,144,111,6.99,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the mans murder, and joins him on a quest to unravel his amnesia through psychoanalysis."
84FB,Year Zero: The Silent Death of Cambodia ,140,52,7.99,"John Pilger vividly reveals the brutality and murderous political ambitions of the Pol PotKhmer Rouge totalitarian regime which bought genocide and despair to the people of Cambodia while neighboring countries, including Australia, shamefully ignored the immense human suffering and unspeakable crimes that bloodied this once beautiful country."
